cost,depth,tqc3TT,tqc3Depth,tqc3Qubits,tqc2TT,tqc2Depth,tqc2Qubits,tqc1TT,tqc1Depth,tqc1Qubits,tqc0TT,tqc0Depth,tqc0Qubits
12,9,0.03790140151977539,3,{109: 3},0.03091740608215332,3,{13: 3},0.022939443588256836,3,{0: 3},0.021940946578979492,19,{0: 19}
12,10,0.04201006889343262,1,{109: 1},0.08047223091125488,1,{13: 1},0.03191328048706055,1,{0: 1},0.026500463485717773,18,{0: 18}
12,11,0.04488682746887207,3,{13: 3},0.03858780860900879,3,{109: 3},0.021941184997558594,3,{0: 3},0.023936748504638672,25,{0: 25}
13,2,0.04041242599487305,3,{13: 3},0.0285186767578125,6,"{'9': 3, '9,10': 2, '10,9': 1}",0.028870582580566406,6,"{'9': 3, '9,10': 2, '10,9': 1}",0.03191399574279785,27,"{'0': 3, '21,22': 2, '23,24': 2, '24,25': 2, '25,26': 2, '26,27': 2, '27,28': 2, '28,35': 2, '35,47': 2, '0,14': 2, '22,23': 2, '47,48': 2, '18,19': 2, '20,21': 2, '14,18': 2, '19,20': 2, '22,21': 1, '14,0': 1, '25,24': 1, '26,25': 1, '18,14': 1, '27,26': 1, '19,18': 1, '28,27': 1, '21,20': 1, '35,28': 1, '47,35': 1, '20,19': 1, '48,47': 1, '23,22': 1, '24,23': 1}"
13,3,0.05729198455810547,1,{109: 1},0.042212724685668945,4,"{'113,114': 2, '113': 1, '114,113': 1}",0.02889871597290039,4,"{'9,10': 2, '9': 1, '10,9': 1}",0.044342756271362305,33,"{'0': 6, '12,17': 2, '24,25': 2, '25,26': 2, '26,27': 2, '27,28': 2, '28,29': 2, '29,30': 2, '17,30': 2, '23,24': 2, '0,1': 2, '15,22': 2, '22,23': 2, '4,15': 2, '1,2': 2, '12,13': 2, '3,4': 2, '2,3': 2, '15,4': 1, '29,28': 1, '1,0': 1, '26,25': 1, '27,26': 1, '2,1': 1, '28,27': 1, '30,29': 1, '3,2': 1, '17,12': 1, '30,17': 1, '4,3': 1, '24,23': 1, '23,22': 1, '13,12': 1, '22,15': 1, '25,24': 1}"
13,4,0.07194662094116211,6,"{'114': 4, '114,113': 1, '114,115': 1}",0.04388093948364258,6,"{'10': 4, '10,9': 1, '10,11': 1}",0.028480052947998047,7,"{'10': 5, '10,9': 1, '10,11': 1}",0.05003690719604492,40,"{'43': 5, '0': 3, '82,83': 2, '39,40': 2, '72,81': 2, '60,61': 2, '81,82': 2, '14,18': 2, '0,14': 2, '83,84': 2, '53,60': 2, '44,45': 2, '61,62': 2, '40,41': 2, '41,42': 2, '33,39': 2, '20,33': 2, '42,43': 2, '19,20': 2, '18,19': 2, '62,72': 2, '41,53': 1, '60,53': 1, '42,41': 1, '61,60': 1, '43,42': 1, '43,44': 1, '62,61': 1, '14,0': 1, '72,62': 1, '81,72': 1, '82,81': 1, '84,83': 1, '45,44': 1, '41,40': 1, '40,39': 1, '39,33': 1, '33,20': 1, '20,19': 1, '19,18': 1, '18,14': 1, '83,82': 1}"
13,5,0.04996490478515625,6,"{'113': 5, '113,114': 1}",0.037816524505615234,6,"{'9': 5, '9,10': 1}",0.03091716766357422,7,"{'9': 6, '9,10': 1}",0.048894405364990234,31,"{'0': 9, '39': 3, '62,63': 2, '53,60': 2, '18,19': 2, '19,20': 2, '40,41': 2, '20,33': 2, '33,39': 2, '41,53': 2, '0,14': 2, '14,18': 2, '61,62': 2, '60,61': 2, '39,40': 1, '41,40': 1, '53,41': 1, '60,53': 1, '14,0': 1, '61,60': 1, '62,61': 1, '39,33': 1, '33,20': 1, '20,19': 1, '19,18': 1, '18,14': 1, '63,62': 1}"
13,6,0.053854942321777344,4,"{'113': 3, '113,114': 1}",0.03690338134765625,4,"{'113': 3, '113,114': 1}",0.032427310943603516,4,"{'113': 3, '113,114': 1}",0.20653557777404785,33,"{'0': 11, '21,22': 2, '24,25': 2, '25,26': 2, '26,27': 2, '27,28': 2, '28,29': 2, '29,30': 2, '0,14': 2, '22,23': 2, '17,30': 2, '20,21': 2, '19,20': 2, '14,18': 2, '18,19': 2, '21,20': 1, '28,27': 1, '25,24': 1, '14,0': 1, '26,25': 1, '27,26': 1, '18,14': 1, '29,28': 1, '22,21': 1, '19,18': 1, '30,29': 1, '30,17': 1, '20,19': 1, '23,22': 1, '23,24': 1}"
13,7,0.05387425422668457,1,"{'9,10': 1}",0.04390597343444824,1,"{'113,114': 1}",0.03242349624633789,3,"{'113': 2, '113,114': 1}",0.06345987319946289,34,"{'33': 11, '0': 7, '53,60': 2, '40,41': 2, '18,19': 2, '19,20': 2, '39,40': 2, '20,33': 2, '0,14': 2, '14,18': 2, '41,53': 2, '33,39': 1, '40,39': 1, '41,40': 1, '14,0': 1, '53,41': 1, '60,53': 1, '20,19': 1, '19,18': 1, '18,14': 1, '33,20': 1}"
13,8,0.06749844551086426,4,"{'113': 3, '113,114': 1}",0.04966092109680176,4,"{'9': 3, '9,10': 1}",0.03390908241271973,5,"{'9': 4, '9,10': 1}",0.07421588897705078,32,"{'0': 10, '22': 3, '44,45': 2, '34,43': 2, '2,3': 2, '3,4': 2, '23,24': 2, '4,15': 2, '15,22': 2, '0,1': 2, '1,2': 2, '24,34': 2, '43,44': 2, '22,23': 1, '24,23': 1, '34,24': 1, '43,34': 1, '1,0': 1, '44,43': 1, '45,44': 1, '15,4': 1, '4,3': 1, '3,2': 1, '2,1': 1, '22,15': 1}"
